Building ID,Compliance Status,Property Name,Street,Zipcode,Year Built,Address Source,Address Type,Master Property Type,Primary Property Type EPA Calculated,Assessor Sector,Government Type,Master Sq Ft,Reporting Year,Energy Star Score,Site Energy Use (kBtu),Site EUI (kBtu/Sq Ft),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site EUI (kBtu/Sq Ft),Electricity Use Grid Purchase and Onsite (kWh),Electricity Use Grid Purchase (kWh),Electricity Use Onsite Renewable (kWh),Green Power - Onsite and Offsite (kWh),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),Total GHG Emissions (Metric Tons CO2e),Energy Star Certification - Years Certified,Recent Energy Star Certification
2649,in compliance,1106 - sonesta denver 1450 glenarm place - svc,1450 glenarm place,80202,1973,portfolio manager,building,Hotel,hotel,Commercial,,212164,2024,64,20727226,97.7,20788049.2,98,2533303,2533302.8,0,0,2415778,9667817.8,0,2110.3,0,0
1001,not submitted,baymont inn and suites denver airport,6805 n argonne st,80233,2009,espm,building,Hotel,hotel,Commercial,,58929,2024,,,,,,,,,,,,,,,
1002,in compliance,hyatt house denver international airport,18741 e. 71st ave.,80249,2010,espm,building,Hotel,hotel,Commercial,,91154,2024,87,6536444.2,71.7,6551280.1,71.9,1027621,1027621.3,0,0,3030200,0,0,704.5,0,0
1004,in compliance,6850 argonne denver airport business park,6850 argonne st,80249,2008,assessor data,building,Office,office,Commercial,,38264,2024,61,2922751.9,76.4,2895981.9,75.7,212679.7,212679.6,0,0,2197088.9,0,0,229.2,0,0
1005,in compliance,6860 argonne denver airport business park,6860 argonne st,80249,2008,assessor data,building,Office,office,Commercial,,38277,2024,2,5249727.3,137.2,5229906.7,136.6,947353.5,947353.4,0,0,2017357.1,0,0,608.3,0,0
1006,in compliance,days inn and suites dia,7030 tower rd,80249,1997,espm,building,Hotel,hotel,Commercial,,53785,2024,60,3549961.7,66,3545081.2,65.9,512059.7,512059.6,0,0,1802814,0,0,366.6,0,0
1007,in compliance,denver co hph,7020 tower rd,80249,2000,espm,building,Hotel,hotel,Commercial,,50127,2024,78,2763726.5,55.1,2768496.1,55.2,475658.8,475658.8,0,0,1140778.6,0,0,312.2,0,0
1008,in compliance,americinn hotels & suites,7010 n tower rd,80249-7311,1996,assessor data,building,Hotel,hotel,Commercial,,47551,2024,82,3753864.9,78.9,3759359.8,79.1,608211.8,608211.7,0,0,1678646.3,0,0,410.9,0,0
1009,in compliance,denver airport co dt,6900 tower rd,80249,1980,espm,building,Hotel,hotel,Commercial,,105670,2024,63,9542214.4,90.3,9556339.8,90.4,1389476,1389476.2,0,0,4801320.9,0,0,990,0,0
1010,in compliance,denver co hies,6910 tower rd,80249,1980,espm,building,Hotel,hotel,Commercial,,70848,2024,93,3981820.4,56.2,3984290.1,56.2,600954.7,600954.6,0,0,1931362.9,0,0,420.5,0,0
1011,in compliance,quality inn & suites dia,6890 tower road,80249,1999,espm,building,Hotel,hotel,Commercial,,53920,2024,99,3450759.7,64,3444796,63.9,529689.9,529689.8,0,0,1643457.8,0,0,367.5,0,0
1012,in compliance,311mj-denap-cy denver airport,6901 tower road,80249,1997,espm,building,Hotel,hotel,Commercial,,107400,2024,69,8621307.3,80.3,8604716.5,80.1,1555483,1555482.7,0,0,3313999.7,0,0,998.8,0,0
1013,in compliance,ffis denver airport,6851 tower road,80249,1996,espm,building,Hotel,hotel,Commercial,,80287,2024,70,4766997.8,59.4,4776762.7,59.5,780480,780479.9,0,0,2104000,0,0,524.6,0,0
1014,in compliance,0978-denver (airport/dia),6801 tower rd.,80249,1998,espm,building,Hotel,hotel,Commercial,,92657,2024,56,6136611.6,66.2,6138247.8,66.2,956803,956802.9,0,0,2871999.9,0,0,658.7,0,0
1015,in compliance,high plains office,18300 e 71st ave,80249,2004,espm,building,Office,office,Commercial,,27067,2024,50,1600270,59.1,1600828.6,59.1,459391.2,459391.1,0,0,32827.3,0,0,244.7,0,0
1016,in compliance,7001 tower road,7001 tower rd.,80249,2001,espm,building,Office,office,Commercial,,70086,2024,0,4575532.4,65.3,4567372.2,65.2,585813.1,585813,0,0,2576738,0,0,446.7,0,0
1017,in compliance,staybridge suites dia,6951 tower road,80249,2008,espm,building,Hotel,hotel,Commercial,,108548,2024,84,8339240.9,80.5,8324614.7,80.4,1076565,1076565.3,0,0,4665999.7,0,0,817.3,0,0
1018,in compliance,embassy suites dia,7001 yampa,80249,2002,espm,building,Hotel,hotel,Commercial,,143498,2024,95,6858053.5,47.8,6881174.2,48,1826569,1826568.8,0,0,625800,0,0,999.4,0,0
1019,in compliance,springhill denver airport,18350 east 68th avenue,80249,1997,espm,building,Hotel,hotel,Commercial,,72203,2024,78,4348353.2,60.2,4348353.2,60.2,551100,551099.9,0,0,2468000,0,0,422.6,0,0
